"_1_Algorithm","_1_Regularization","_1_Transformation","_2_Num_Clusters","_3_Calinski_Score","_3_Silhoutte_Score","_4_Tuning","_5_Image","_Cluster_0","_Cluster_1","_Cluster_10","_Cluster_11","_Cluster_12","_Cluster_13","_Cluster_14","_Cluster_15","_Cluster_2","_Cluster_3","_Cluster_4","_Cluster_5","_Cluster_6","_Cluster_7","_Cluster_8","_Cluster_9"
"K-Means","None","r3","12","11975.3989373","0.509052709553","Clusters = 12","images/KMeans_r3_None_12.png","378","145","1","1","","","","","81","48","31","11","4","3","1","1"
"K-Means","None","r3","14","11941.0164091","0.539113100506","Clusters = 14","images/KMeans_r3_None_14.png","417","138","1","1","1","1","","","62","35","23","11","8","4","2","1"
"Affinity Propogation","None","r3","39","15049.028857","0.408869633477","Preference = 1","","319","116","8","6","5","3","3","2","64","36","30","24","21","19","16","10"
"Affinity Propogation","None","r3","20","11932.8578755","0.546195061249","Preference = 4","","446","122","1","1","1","1","1","1","57","22","19","10","8","6","3","2"
"Affinity Propogation","None","r3","15","12422.1411237","0.556352664418","Preference = 7","images/Affinity_r3_None_7.png","453","118","1","1","1","1","1","","55","27","23","10","6","4","3","1"
"Affinity Propogation","None","r3","12","9564.66230564","0.667586260146","Preference = 10","images/Affinity_r3_None_10.png","565","87","1","1","","","","","30","10","4","3","1","1","1","1"
"Affinity Propogation","None","r3","11","11461.0703275","0.59157951286","Preference = 13","images/Affinity_r3_None_13.png","505","99","1","","","","","","48","31","11","4","3","1","1","1"
"Affinity Propogation","None","r3","10","10162.6415358","0.666597279044","Preference = 16","images/Affinity_r3_None_16.png","565","87","","","","","","","31","11","4","3","1","1","1","1"
"Affinity Propogation","None","r3","10","9135.27691185","0.674252018929","Preference = 19","images/Affinity_r3_None_19.png","584","76","","","","","","","23","11","4","3","1","1","1","1"
"Affinity Propogation","None","r3","11","11227.8610693","0.603809267265","Preference = 22","images/Affinity_r3_None_22.png","503","113","1","","","","","","44","23","11","4","3","1","1","1"
"Affinity Propogation","None","r3","542","70.206311835","0.0248752667187","Preference = 25","","","","","","","","","","","","","","","","",""
"Affinity Propogation","None","r3","9","7158.16017508","0.73546280814","Preference = 28","images/Affinity_r3_None_28.png","626","57","","","","","","","11","4","3","1","1","1","1",""
"K-Means","mm","r3","4","199.58666047","0.18536467418","Clusters = 4","images/KMeans_r3_mm_4.png","236","198","","","","","","","151","120","","","","","",""
"K-Means","mm","r3","6","159.869066934","0.154134710287","Clusters = 6","images/KMeans_r3_mm_6.png","168","149","","","","","","","127","90","88","83","","","",""
"K-Means","mm","r3","8","137.667991415","0.147879640951","Clusters = 8","images/KMeans_r3_mm_8.png","167","113","","","","","","","112","76","66","65","60","46","",""
"K-Means","mm","r3","10","119.63332029","0.144788959414","Clusters = 10","images/KMeans_r3_mm_10.png","131","94","","","","","","","90","84","65","56","53","45","44","43"
"K-Means","mm","r3","12","105.691335033","0.12964237327","Clusters = 12","images/KMeans_r3_mm_12.png","105","98","39","18","","","","","70","64","62","61","52","51","45","40"
"K-Means","mm","r3","14","95.4661784109","0.114786912643","Clusters = 14","images/KMeans_r3_mm_14.png","82","75","37","35","28","27","","","69","65","59","49","48","48","42","41"
"Affinity Propogation","mm","r3","85","29.4023366445","0.0810323544101","Preference = 1","","","","","","","","","","","","","","","","",""
"Affinity Propogation","mm","r3","25","61.890402377","0.0907350712337","Preference = 4","","94","53","26","25","25","24","24","23","53","50","37","34","30","28","28","27"
"Affinity Propogation","mm","r3","16","81.478544587","0.114253929854","Preference = 7","","157","100","27","27","25","23","17","12","63","47","38","35","35","35","34","30"
"Affinity Propogation","mm","r3","12","95.2519362239","0.124834647815","Preference = 10","images/Affinity_r3_mm_10.png","143","127","32","23","","","","","93","48","45","43","41","39","38","33"
"Affinity Propogation","mm","r3","9","115.161782066","0.128994126666","Preference = 13","images/Affinity_r3_mm_13.png","156","145","","","","","","","114","78","50","50","45","34","33",""
"Affinity Propogation","mm","r3","9","114.893120903","0.125511412575","Preference = 16","images/Affinity_r3_mm_16.png","160","152","","","","","","","91","72","60","57","45","40","28",""
"Affinity Propogation","mm","r3","8","123.780396391","0.123252691347","Preference = 19","images/Affinity_r3_mm_19.png","164","159","","","","","","","105","85","79","45","40","28","",""
"Affinity Propogation","mm","r3","7","138.014354147","0.140487595819","Preference = 22","images/Affinity_r3_mm_22.png","187","156","","","","","","","109","95","74","50","34","","",""
"Affinity Propogation","mm","r3","6","149.104303038","0.141682314573","Preference = 25","images/Affinity_r3_mm_25.png","195","144","","","","","","","124","84","81","77","","","",""
"Affinity Propogation","mm","r3","6","148.219210193","0.130455963372","Preference = 28","images/Affinity_r3_mm_28.png","141","141","","","","","","","131","114","105","73","","","",""
"K-Means","z","r3","4","215.049573247","0.175448770169","Clusters = 4","images/KMeans_r3_z_4.png","266","223","","","","","","","129","87","","","","","",""
"K-Means","z","r3","6","164.879992488","0.154262746727","Clusters = 6","images/KMeans_r3_z_6.png","247","162","","","","","","","84","82","66","64","","","",""
"K-Means","z","r3","8","134.468361209","0.136567861424","Clusters = 8","images/KMeans_r3_z_8.png","183","130","","","","","","","92","84","73","63","46","34","",""
"K-Means","z","r3","10","115.717838803","0.126242713946","Clusters = 10","images/KMeans_r3_z_10.png","180","122","","","","","","","64","58","57","52","49","48","44","31"
"K-Means","z","r3","12","100.396493921","0.0940009101323","Clusters = 12","images/KMeans_r3_z_12.png","135","111","25","17","","","","","90","57","50","50","46","44","42","38"
"K-Means","z","r3","14","90.1395040454","0.132950878674","Clusters = 14","images/KMeans_r3_z_14.png","192","95","25","20","17","16","","","62","49","46","43","41","37","34","28"
